arm,fold,w0,w1,w2,w3,w4,w5,sig_std,cos_nested
B,fold1,0.7252,-0.9627,0.6076,-0.6779,-0.4064,-1.0,1.9758,-0.377
B,fold2,0.7534,-0.6801,-1.0,-0.1822,-0.673,-0.6779,1.4922,-0.5821
B,fold3,0.6362,-0.7908,-1.0,0.484,-0.6492,-0.8181,1.6719,-0.4765
B,fold4,0.3597,0.2213,-1.0,0.1727,-0.1387,-0.8089,1.4119,-0.3553
B,fold5,0.5923,-0.757,-0.9348,0.3037,0.4435,-1.0,1.2442,-0.3143
C,fold1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9931,-1.0
C,fold2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.9997,-1.0
C,fold3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.997,-1.0
C,fold4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.8545,-1.0
C,fold5,1.0,1.0,1.0,1.0,1.0,1.0,0.1061,1.0
