arm,fold,n_configs,n_days,n_blocks,pbo,p_oos_neg,median_lambda,median_sr_is_best,median_sr_oos_best,degradation_slope
A,fold1,500,1346,16,0.5454,0.0312,-0.156,0.0779,0.0671,-0.9519
A,fold2,500,1711,16,0.4954,0.1061,0.012,0.0609,0.0504,-0.9771
A,fold3,500,2076,16,0.401,0.0743,0.3756,0.0533,0.0457,-0.9648
A,fold4,500,2442,16,0.2399,0.0094,0.7844,0.0603,0.0523,-0.9438
A,fold5,500,2807,16,0.2978,0.0136,0.6221,0.0599,0.0525,-0.9493
B,fold1,500,1346,16,0.4641,0.0292,0.0919,0.0923,0.0759,-0.784
B,fold2,500,1711,16,0.2583,0.0628,1.7687,0.0762,0.0654,-0.7872
B,fold3,500,2076,16,0.496,0.0538,0.012,0.0687,0.0573,-0.6742
B,fold4,500,2442,16,0.3897,0.0089,0.3344,0.0706,0.0599,-0.5701
B,fold5,500,2807,16,0.3522,0.0246,0.5612,0.0703,0.0593,-0.5128
C,fold1,500,1346,16,0.4239,0.0373,0.4088,0.0812,0.0642,-0.7806
C,fold2,500,1711,16,0.4899,0.1189,0.0359,0.0638,0.0513,-0.8611
C,fold3,500,2076,16,0.4305,0.078,0.261,0.0583,0.0467,-0.7911
C,fold4,500,2442,16,0.4649,0.0089,0.1399,0.0627,0.0514,-0.4721
C,fold5,500,2807,16,0.7214,0.019,-0.6842,0.0595,0.0491,-0.8837
