fold,horizon,lambda,is_r2,val_r2,oos_strat_ann,oos_dca_ann,oos_alpha,oos_mdd,cos_nested
fold1,24,100.0,0.001282,-0.015229,-0.4081,-0.2456,-0.1625,0.4952,-0.0173
fold1,72,100.0,-0.002088,-0.048727,-0.4285,-0.2456,-0.1829,0.4904,0.0465
fold2,24,100.0,0.002886,0.00264,-0.4183,0.2577,-0.676,0.4845,-0.0466
fold2,72,100.0,0.002032,-0.000572,-0.3579,0.2577,-0.6156,0.4353,0.0304
fold3,24,100.0,0.001792,-0.0089,0.2029,0.7773,-0.5744,0.1674,-0.0264
fold3,72,100.0,0.001456,-0.010012,0.2765,0.7773,-0.5008,0.1739,0.0497
fold4,24,0.1,0.001423,-0.012365,-0.0893,0.3505,-0.4398,0.2543,-0.0237
fold4,72,0.1,0.000396,-0.029857,-0.0601,0.3505,-0.4106,0.2767,0.0492
fold5,24,100.0,0.00122,-0.005933,-0.4397,-0.1848,-0.2549,0.4646,-0.0384
fold5,72,100.0,-0.000564,-0.023946,-0.4275,-0.1848,-0.2426,0.458,0.0407
