trial,pop_size,elite_ratio,max_generations,generations_actual,evaluations_total,score_total,fatal,duration_s,task_id
0,44,0.2862,12,12,396,0.8161074587573895,False,12.0,4fccab801384a36d09d62fc7f504c978
0,44,0.2862,93,18,588,0.8238430969879118,False,18.1,270cdccb369f498f60e617370a544268
1,121,0.1876,30,19,1903,0.8254194484993209,False,60.3,f00193326c34a942e0e3def0208643c5
2,24,0.0637,130,18,415,0.7415986168592024,False,15.0,bb8d9e9146f25adff6a71af89191442d
3,18,0.2625,214,17,242,0.7986286315499171,False,12.0,93d4962075fd3c2b49af8fb41d75cf1b
4,84,0.2183,45,19,1272,0.8242689079757605,False,39.2,9b7fd166dfd8c2526eed551feadfed0c
5,16,0.2916,250,22,268,0.7984855289293882,False,12.0,f8ca9df7797dfda49aaf60e527d3bac7
6,160,0.0795,20,20,2972,0.8297503022970425,False,90.6,ea14542fcbb01765fb9566adf6e3548f
7,26,0.0714,120,39,976,0.8309110337673389,False,33.1,30c86da3bcd3033c397910af5e0090bf
8,36,0.1669,100,17,516,0.8172942977816111,False,18.0,ef9a48519ddd5b05a294d8777d567ce3
9,52,0.1015,64,31,1462,0.82570407270974,False,45.3,627e4e1ee904eef8a0d97eb904c787d0
10,28,0.0217,111,14,379,0.7668965262035312,False,15.0,e63d80728b0ae1c18ac1e737a54f42ae
11,235,0.1075,14,14,2965,0.8214977400543353,False,93.5,7363f4e5b1c79616eecb192afee13dac
12,244,0.1163,14,14,3052,0.8187131195129189,False,96.5,0c0a68a5ca7f1e75770ba870d102a393
13,135,0.0236,23,20,2643,0.8205322676125871,False,84.4,4fae6371acec98d0ea75186d2cec3db1
14,77,0.0627,41,25,1829,0.8221914773000378,False,60.3,45ed776d796c0e4f379ef3bb14fc57ef
15,135,0.134,25,19,2241,0.8316408124105445,False,72.4,b5daaf85b092958fb7953f6aaaff042d
16,83,0.1416,42,25,1811,0.8289954050228026,False,63.3,701c7614b4af1ea03b5881a173b9d21e
17,60,0.1433,58,28,1464,0.8233693045109816,False,51.2,e4adb3f605794b4485afc6c295be9c6c
18,108,0.2219,35,13,1128,0.817430455249937,False,36.2,7084ab679c877cba18ceb9a36a2144d6
19,186,0.0461,17,17,3034,0.8207239717326638,False,102.4,1541b407f0788715bad934523f454aea
20,32,0.0874,100,35,1052,0.8255800255051449,False,36.2,6e93d9e5d3183c717aef039fb593ee74
21,164,0.1257,21,21,3044,0.823171647016014,False,99.5,048b9708c4c486d83080c0ef1c369381
22,167,0.0773,19,19,2957,0.8215573051730731,False,96.5,6a2d760b8df2e669ef2a41b6bea89e26
23,98,0.0469,32,24,2260,0.8235584531119802,False,72.3,af716e503d1d4a0b5a0884edc98149e7
24,138,0.0904,24,24,3036,0.8273901032632729,False,99.4,81271c5d6ab5800f68c05a18d604b6c5
25,21,0.1717,166,43,777,0.8298619305517325,False,27.1,4bb022fe751b8f5c07513c6efa66cc84
26,21,0.1792,166,29,525,0.7983230546123348,False,21.1,6ed499d5bf3b6e51784c666589210e91
27,39,0.2005,94,19,615,0.8123955962371419,False,21.1,410f3df6fbfbc3695bb102a9b6048349
28,24,0.1415,143,16,339,0.796166199803509,False,15.0,0fe27fd07f37886042728d0a705927fd
29,46,0.2626,88,26,896,0.8164884519077241,False,33.1,84e60817cff51021077ef4d36a712228
30,29,0.1534,120,41,1029,0.8139490164377234,False,36.1,f57b953a95e058eb23f6b9d8541825ab
31,209,0.1298,16,16,2939,0.8235769926087197,False,93.5,363a4b9baf5b208465e8b9a6aa753c75
32,19,0.1671,187,19,307,0.8145023606185513,False,12.0,10732efe57c35d04989b4d394a72ed8a
33,23,0.0643,136,36,793,0.8174170938870777,False,30.1,54b659b9d04aeec7c675cacd28f66068
34,134,0.189,27,25,2750,0.826872194900701,False,90.5,e88e22c2afc51c793ed2c514f1a64947
35,63,0.2207,60,22,1113,0.8203174770080388,False,36.1,35f62d7d616856d00c0fa974f27acca5
36,16,0.0982,200,25,376,0.8140791047250393,False,15.0,e32f303923f1f18d071dfaa863d58923
37,112,0.0389,28,28,3028,0.821119275400402,False,99.5,7e12c3409f625806133586198c1093cb
38,74,0.0827,44,18,1230,0.8200431163512601,False,42.2,d8a881f748ed0a88c33c670a468cfd7b
39,26,0.0711,120,16,401,0.8050190731984648,False,15.1,d48bb70deedf732f88880443c3f75a6c
40,37,0.1156,91,24,796,0.8202322714753216,False,30.1,b7f99274c9e8e4d308d3487f4f904d2a
41,88,0.1543,40,19,1438,0.8200076160224952,False,57.2,b26310234cac00cfc6e3340901bcf2ba
42,157,0.2036,24,23,2929,0.8268719552944634,False,105.5,a0c0f8742924d0755e4a54188ad452be
43,94,0.1335,36,25,2062,0.8291130914767215,False,75.4,27e8b6fb7e0af7d5279f3195898ddc9a
44,98,0.1691,36,23,1902,0.8245977105995315,False,69.4,5767769b0575be63b42f6d90df6e4345
45,52,0.1072,64,33,1556,0.8217082824959228,False,60.3,8b729b6d02c7493a39991a38370c71f5
46,121,0.2428,32,24,2237,0.8221750134163635,False,81.4,6ab1ab0870374da05c5dc8f9d34e6b91
47,193,0.1304,18,18,3049,0.8291385560030329,False,105.6,68547793b6b65a223374fe8211617b27
48,199,0.1177,17,17,3015,0.826019393637146,False,111.7,09bef7b5fbd07a1f361763ae7b63173c
49,220,0.1782,16,16,2935,0.8256633188697786,False,102.5,b5f57c3b0cfb35905d4c738edd83a98b
